Rank,Frequency,Dispersion,Word,Part of Speech
1,22038615,0.98,the,article
2,12545825,0.97,be,verb
3,10741073,0.99,and,conjunction
4,10343885,0.97,of,preposition
5,10144200,0.98,a,article
6,6996437,0.98,in,preposition
7,6332195,0.98,to,adverb
8,4303955,0.97,have,verb
9,3856916,0.99,to,preposition
10,3872477,0.96,it,pronoun
11,3978265,0.93,I,pronoun
12,3430996,0.97,that,conjunction
13,3281454,0.98,for,preposition
14,3081151,0.92,you,pronoun
15,2909254,0.94,he,pronoun
16,2683014,0.99,with,preposition
17,2485306,0.99,on,preposition
18,2573587,0.95,do,verb
19,1915138,0.95,say,verb
20,1885366,0.96,this,determiner
21,1865580,0.96,they,pronoun
22,1767638,0.98,at,preposition
23,1776767,0.97,but,conjunction
24,1820935,0.94,we,pronoun
25,1801708,0.95,his,article
26,1635914,0.99,from,preposition
27,1712406,0.94,that,determiner
28,1638830,0.98,not,negator
29,1619007,0.97,nt,negator
30,1490548,0.96,by,preposition
31,1484869,0.91,she,pronoun
32,1379320,0.97,or,conjunction
33,1296879,0.98,as,conjunction
34,1181023,0.94,what,determiner
35,1151045,0.93,go,verb
36,1083029,0.97,their,article
37,1022775,0.98,can,verb
38,1018283,0.97,who,pronoun
39,992596,0.94,get,verb
40,933542,0.97,if,conjunction
41,925515,0.97,would,verb
42,969591,0.91,her,article
43,892102,0.98,all,determiner
44,919821,0.93,my,article
45,857168,0.98,make,verb
46,874406,0.96,about,preposition
47,892535,0.93,know,verb
48,824568,0.97,will,verb
49,829018,0.95,as,preposition
50,795534,0.95,up,adverb
51,768232,0.98,one,number
52,764657,0.98,time,noun
53,784528,0.96,there,existential
54,769254,0.96,year,noun
55,756550,0.95,so,adverb
56,772787,0.91,think,verb
57,678626,0.98,when,conjunction
58,685982,0.96,which,determiner
59,677870,0.97,them,pronoun
60,674193,0.98,some,determiner
61,709623,0.92,me,pronoun
62,691468,0.95,people,noun
63,670745,0.97,take,verb
64,678603,0.96,out,adverb
65,668172,0.97,into,preposition
66,677711,0.94,just,adverb
67,663645,0.96,see,verb
68,677707,0.92,him,pronoun
69,659622,0.94,your,article
70,628254,0.95,come,verb
71,617932,0.96,could,verb
72,605997,0.94,now,adverb
73,579757,0.97,than,conjunction
74,568850,0.96,like,preposition
75,547799,0.97,other,adjective
76,538893,0.97,how,adverb
77,543977,0.95,then,adverb
78,539719,0.96,its,article
79,525107,0.97,our,article
80,511027,0.99,two,number
81,517536,0.97,more,adverb
82,513864,0.95,these,determiner
83,514972,0.95,want,verb
84,470401,0.98,way,noun
85,491707,0.93,look,verb
86,463566,0.98,first,number
87,464606,0.96,also,adverb
88,435993,0.97,new,adjective
89,438539,0.96,because,conjunction
90,432773,0.97,day,noun
91,420170,0.97,more,determiner
92,420781,0.96,use,verb
93,402222,0.98,no,article
94,409760,0.95,man,noun
95,395203,0.98,find,verb
96,412315,0.93,here,adverb
97,400724,0.94,thing,noun
98,384503,0.98,give,verb
99,385348,0.97,many,determiner
100,411776,0.91,well,adverb
101,379574,0.98,only,adverb
102,378007,0.97,those,determiner
103,388155,0.94,tell,verb
104,369553,0.98,one,pronoun
105,391821,0.92,very,adverb
106,397950,0.89,her,pronoun
107,361067,0.98,even,adverb
108,367844,0.94,back,adverb
109,348100,0.98,any,determiner
110,353973,0.96,good,adjective
111,341422,0.98,woman,noun
112,340921,0.98,through,preposition
113,351088,0.95,us,pronoun
114,333085,0.98,life,noun
115,333849,0.97,child,noun
116,333433,0.93,there,adverb
117,318210,0.98,work,verb
118,329409,0.94,down,adverb
119,324569,0.95,may,verb
120,311902,0.98,after,preposition
121,310265,0.98,should,verb
122,308050,0.97,call,verb
123,303506,0.97,world,noun
124,300349,0.98,over,preposition
125,304183,0.95,school,noun
126,296953,0.97,still,adverb
127,294023,0.96,try,verb
128,285035,0.98,in,adverb
129,281483,0.98,as,adverb
130,289843,0.95,last,number
131,284632,0.96,ask,verb
132,276744,0.98,need,verb
133,280396,0.96,too,adverb
134,275214,0.95,feel,verb
